trip_id,service_type,distance_km,duree_h,traction,type_train,nom_operateur,pays_origine,pays_destination,trajet_domestique,frequence_semaine
OCESN12114F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1705:20261101,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,2
OCESN12114F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1705:20261206,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12114F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1737:20261210,Jour,395.5,1.88,,TGV inOui,SNCF,FR,FR,True,2
OCESN12114F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1705:20261122,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12115F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:2215:20261011,Jour,395.5,1.83,,TGV inOui,SNCF,FR,FR,True,2
OCESN12115F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:2211:20261206,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
OCESN12116F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:2:1216:20261211,Jour,395.5,1.75,,TGV inOui,SNCF,FR,FR,True,2
OCESN12118F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87212027:87113001:3:821:20261210,Jour,395.5,1.85,,TGV inOui,SNCF,FR,FR,True,1
OCESN12119F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1159:20261211,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,2
OCESN12119F1187_F:OUI:FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37::87113001:87212027:2:1211:20261212,Jour,395.5,1.77,,TGV inOui,SNCF,FR,FR,True,1
